地区ID,地区名,戦闘形式,人形ID,種類,人形,レベル,改造,リンク数,最大HP,会心率,会心ダメージ,破甲,火力,命中,回避,射速,防御,弾薬数,修復,好感度,誓約,スキル1,スキル2,装備1,装備2,装備3,作戦能力,ダメージ予測 (1-Fairy),ダメージ予測 (2-Fairy),ダメージ予測 (3-Fairy),ダメージ予測 (4-Fairy),順位
1214,初級4,昼戦,20143,SMG,RO635 Mod,115,3,5,1035,25%,150%,15,25,41,135,97,0,0,30,100,0,10,10,専用装備 (5-Star),専用装備 (5-Star),サイレンサー (5-Star),7081,531,637,743,849,24
1214,初級4,昼戦,20103,SMG,UMP45 Mod,115,3,5,970,30%,175%,15,51,30,130,83,0,0,34,100,0,10,10,専用装備 (5-Star),専用装備 (5-Star),専用装備 (5-Star),7064,529,635,741,847,25
1214,初級4,昼戦,356,AR,A-545,100,0,5,550,20%,100%,15,101,70,52,103,0,0,8,100,0,8,0,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),6045,528,634,740,846,26
1214,初級4,昼戦,20171,AR,リベロール Mod,115,2,5,590,20%,100%,15,112,65,44,89,0,0,9,100,0,10,10,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),6031,527,633,738,844,27
1214,初級4,昼戦,294,HG,ウェブリー,100,0,5,430,20%,150%,15,25,70,129,56,0,0,24,100,0,10,0,SFライト (5-Star),信号弾 (5-Star),T外骨格 (5-Star),3811,524,628,733,838,28
1214,初級4,昼戦,20101,SMG,UMP9 Mod,115,3,5,900,25%,175%,15,57,33,138,87,0,0,30,100,0,5,5,専用装備 (5-Star),専用装備 (5-Star),専用装備 (5-Star),6971,522,627,731,836,29
1214,初級4,昼戦,361,AR,QBZ-191,100,0,5,605,20%,100%,15,102,68,49,99,0,0,9,100,0,8,0,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),5974,522,627,731,836,30
1214,初級4,昼戦,338,AR,SIG MCX,100,0,5,580,20%,100%,15,95,74,49,104,0,0,9,100,0,7,0,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),5898,516,619,722,825,31
1214,初級4,昼戦,401,SMG,P50,100,0,5,950,5%,100%,15,52,28,88,112,0,0,26,100,0,6,0,チップ (5-Star),信号弾 (5-Star),ホロサイト (5-Star),5727,515,618,721,824,32
1214,初級4,昼戦,62,AR,Gr G41,100,0,5,635,68%,150%,15,95,58,60,77,0,0,10,69,0,4,0,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),5840,511,613,715,817,33
1214,初級4,昼戦,20104,SMG,Gr G36c Mod,115,3,5,1080,5%,150%,15,44,29,114,80,0,0,35,100,0,10,10,専用装備 (5-Star),信号弾 (5-Star),ホロサイト (5-Star),6775,508,609,711,813,34
1214,初級4,昼戦,172,AR,Am RFB,100,0,5,525,78%,118%,15,108,72,52,79,0,0,8,100,0,10,0,専用装備 (5-Star),高速弾 (5-Star),チップ (5-Star),5803,507,609,710,812,35
1214,初級4,昼戦,142,HG,Five-seven,100,0,5,315,20%,150%,15,33,60,137,65,0,0,17,100,0,8,0,専用装備 (5-Star),信号弾 (5-Star),X外骨格 (5-Star),3691,507,609,710,812,36
1214,初級4,昼戦,250,HG,HS2000,100,0,5,360,20%,150%,15,35,65,120,62,0,0,21,100,0,10,0,SFライト (5-Star),-,X外骨格 (5-Star),3546,487,585,682,780,37
1214,初級4,昼戦,4,HG,パイソン,100,0,5,350,60%,150%,15,42,86,117,49,0,0,17,100,0,10,0,サイレンサー (5-Star),-,X外骨格 (5-Star),3455,475,570,665,760,38
1214,初級4,昼戦,306,AR,AK-Alfa,100,0,5,580,68%,180%,15,89,56,55,65,0,0,9,100,0,4,0,オプティカル (5-Star),高速弾 (5-Star),集中チップ (5-Star),5270,461,553,645,737,39
1214,初級4,昼戦,390,AR,433,100,0,5,620,68%,180%,15,83,48,48,69,0,0,9,100,0,8,0,オプティカル (5-Star),高速弾 (5-Star),集中チップ (5-Star),5202,455,546,637,728,40
1214,初級4,昼戦,20046,RF,Kar98k Mod,120,3,5,445,88%,218%,195,170,103,49,36,0,0,11,200,1,10,10,徹甲弾 (5-Star),専用装備 (5-Star),専用装備 (5-Star),9070,453,544,634,725,41
1214,初級4,昼戦,382,AR,MSBS,100,0,5,550,68%,180%,15,84,53,50,62,0,0,8,100,0,10,0,オプティカル (5-Star),高速弾 (5-Star),集中チップ (5-Star),4902,428,514,600,686,42
1214,初級4,昼戦,20094,SMG,64式 Mod,115,3,5,900,25%,150%,15,30,33,119,93,0,0,26,100,0,4,4,専用装備 (5-Star),専用装備 (5-Star),専用装備 (5-Star),5705,427,513,599,684,43
1214,初級4,昼戦,106,AR,FAL,100,0,5,660,68%,180%,15,90,46,40,62,0,0,10,96,0,4,0,オプティカル (5-Star),高速弾 (5-Star),集中チップ (5-Star),4884,427,512,598,683,44
1214,初級4,昼戦,20021,SMG,PPSh-41 Mod,115,3,5,1035,70%,150%,8,63,26,65,90,0,0,30,100,0,4,4,専用装備 (5-Star),専用装備 (5-Star),ホロサイト (5-Star),5619,421,505,589,674,45
1214,初級4,昼戦,20125,MG,Gr MG4 Mod,115,3,5,925,40%,150%,615,96,75,35,139,0,15,10,100,0,10,10,専用装備 (5-Star),専用装備 (5-Star),アサルトパック (5-Star),16691,417,500,584,667,46
1214,初級4,昼戦,20039,RF,モシン・ナガン Mod,115,3,5,450,90%,180%,255,172,99,46,36,0,0,11,100,0,8,7,専用装備 (5-Star),専用装備 (5-Star),専用装備 (5-Star),8289,414,497,580,663,47
1214,初級4,昼戦,391,SMG,82式,100,0,5,1075,25%,180%,15,37,13,99,82,0,0,29,100,0,10,0,集中チップ (5-Star),-,サイレンサー (5-Star),5449,408,490,572,653,48
1214,初級4,昼戦,20088,MG,MG3 Mod,115,3,5,1010,55%,150%,565,86,24,23,131,0,40,11,100,0,10,10,専用装備 (5-Star),専用装備 (5-Star),専用装備 (5-Star),15826,395,474,553,633,49
1214,初級4,昼戦,20050,RF,リー・エンフィールド Mod,115,2,5,450,88%,175%,195,150,93,44,41,0,0,11,100,0,10,9,徹甲弾 (5-Star),専用装備 (5-Star),カモフラージュマント (5-Star),7822,391,469,547,625,50
1214,初級4,昼戦,20053,RF,NTW-20 Mod,115,3,5,475,88%,180%,195,188,86,32,32,0,0,11,100,0,10,10,専用装備 (5-Star),オプティカル (5-Star),専用装備 (5-Star),7607,380,456,532,608,51
1214,初級4,昼戦,20095,RF,漢陽88式 Mod,115,3,5,520,90%,180%,195,133,72,40,42,0,0,12,100,0,10,10,専用装備 (5-Star),専用装備 (5-Star),専用装備 (5-Star),7367,368,442,515,589,52
1214,初級4,昼戦,20080,MG,M1919A4 Mod,115,3,5,925,35%,170%,515,114,64,25,102,0,14,10,100,0,5,4,専用装備 (5-Star),専用装備 (5-Star),アサルトパック (5-Star),14270,356,428,499,570,53
1214,初級4,昼戦,20230,RF,OBR Mod,115,3,5,430,88%,175%,195,142,90,35,38,0,0,10,100,0,8,7,徹甲弾 (5-Star),専用装備 (5-Star),カモフラージュマント (5-Star),6806,340,408,476,544,54
1214,初級4,昼戦,173,MG,PKP,100,0,5,825,35%,150%,515,98,61,27,122,0,15,9,50,0,4,0,特殊徹甲弾 (5-Star),専用装備 (5-Star),アサルトパック (5-Star),13316,332,399,466,532,55
1214,初級4,昼戦,20282,SG,DP-12 Mod,115,3,5,1325,40%,150%,15,37,36,15,39,36,5,56,100,0,10,10,専用装備 (5-Star),散弾用閃光弾 (5-Star),暗視装備 (5-Star),8764,328,394,460,525,56
1214,初級4,昼戦,20252,RF,KSVK Mod,115,3,5,450,60%,175%,195,183,91,43,32,0,0,11,100,0,10,10,専用装備 (5-Star),サイレンサー (5-Star),カモフラージュマント (5-Star),6492,324,389,454,519,57
1214,初級4,昼戦,377,RF,SCAR-H,100,0,5,425,60%,175%,215,125,98,41,41,0,0,9,100,0,10,0,専用装備 (5-Star),サイレンサー (5-Star),カモフラージュマント (5-Star),6335,316,380,443,506,58
1214,初級4,昼戦,257,RF,M200,100,0,5,440,60%,175%,195,160,106,45,34,0,0,10,150,1,10,0,徹甲弾 (5-Star),サイレンサー (5-Star),カモフラージュマント (5-Star),6241,312,374,436,499,59
1214,初級4,昼戦,266,RF,R93,100,0,5,405,60%,175%,195,140,102,46,39,0,0,9,100,0,4,0,徹甲弾 (5-Star),サイレンサー (5-Star),カモフラージュマント (5-Star),6151,307,369,430,492,60
1214,初級4,昼戦,348,RF,HS.50,100,0,5,440,60%,175%,195,167,89,41,33,0,0,10,100,0,8,0,徹甲弾 (5-Star),サイレンサー (5-Star),カモフラージュマント (5-Star),5981,299,358,418,478,61
1214,初級4,昼戦,198,RF,カルカノ M91/38,100,0,5,365,60%,175%,195,154,95,57,34,0,0,8,100,0,10,0,徹甲弾 (5-Star),サイレンサー (5-Star),カモフラージュマント (5-Star),5984,299,359,418,478,62
1214,初級4,昼戦,20159,SG,RMB-93 Mod,115,3,5,1235,40%,150%,15,35,33,15,29,35,4,47,100,0,8,10,専用装備 (5-Star),散弾用閃光弾 (5-Star),暗視装備 (5-Star),7565,283,340,397,453,63
1214,初級4,昼戦,163,SG,AA-12,100,0,5,1345,40%,150%,15,47,33,10,39,33,5,48,100,0,8,0,防弾ベスト (5-Star),専用装備 (5-Star),暗視装備 (5-Star),7535,282,339,395,452,64
1214,初級4,昼戦,374,MG,M240L,100,0,5,875,5%,150%,515,107,36,31,123,0,16,9,100,0,10,0,特殊徹甲弾 (5-Star),-,アサルトパック (5-Star),11234,280,337,393,449,65
1214,初級4,昼戦,20154,SG,M500 Mod,115,3,5,1345,40%,164%,15,35,43,9,40,33,4,51,100,0,10,10,防弾ベスト (5-Star),バードショット (5-Star),専用装備 (5-Star),7467,280,336,392,448,66
1214,初級4,昼戦,20044,RF,SV-98 Mod,111,2,5,425,60%,150%,195,144,84,41,37,0,0,10,100,0,4,4,徹甲弾 (5-Star),サイレンサー (5-Star),測距儀 (5-Star),5607,280,336,392,448,67
1214,初級4,昼戦,323,SG,LTLX7000,100,0,5,1375,40%,150%,15,25,35,10,28,36,5,49,100,0,10,0,防弾ベスト (5-Star),散弾用閃光弾 (5-Star),暗視装備 (5-Star),7397,277,332,388,443,68
1214,初級4,昼戦,398,SG,Stevens620,100,0,5,1265,40%,140%,15,32,14,13,39,35,5,45,100,0,10,0,防弾ベスト (5-Star),バードショット (5-Star),暗視装備 (5-Star),7058,264,317,370,423,69
1214,初級4,昼戦,292,MG,RPK-16,100,0,5,825,5%,150%,515,90,39,36,124,0,15,9,100,0,5,0,特殊徹甲弾 (5-Star),-,アサルトパック (5-Star),10536,263,316,368,421,70
1214,初級4,昼戦,387,SG,TPS,100,0,5,1265,40%,140%,15,31,16,13,45,34,6,45,100,0,10,0,防弾ベスト (5-Star),バードショット (5-Star),暗視装備 (5-Star),7017,263,315,368,421,71
1214,初級4,昼戦,112,MG,ネゲヴ,100,0,5,870,5%,150%,515,89,37,36,134,0,14,9,100,0,8,0,特殊徹甲弾 (5-Star),-,アサルトパック (5-Star),10317,257,309,361,412,72
1214,初級4,昼戦,350,SG,FO-12,100,0,5,1280,40%,140%,15,33,15,11,48,34,5,46,150,1,10,0,防弾ベスト (5-Star),バードショット (5-Star),暗視装備 (5-Star),6880,258,309,361,412,73
1214,初級4,昼戦,366,SG,SPAS-15,100,0,5,1320,40%,140%,15,37,15,9,46,34,3,47,100,0,10,0,防弾ベスト (5-Star),バードショット (5-Star),暗視装備 (5-Star),6783,254,305,356,406,74
1214,初級4,昼戦,351,SG,M26-MASS,100,0,5,1265,40%,140%,15,37,16,13,42,33,5,47,100,0,4,0,防弾ベスト (5-Star),バードショット (5-Star),暗視装備 (5-Star),6755,253,303,354,405,75
1214,初級4,昼戦,397,SG,Stevens520,100,0,5,1210,40%,140%,15,34,15,14,43,34,5,43,100,0,4,0,防弾ベスト (5-Star),バードショット (5-Star),暗視装備 (5-Star),6684,250,300,350,401,76
1214,初級4,昼戦,302,SG,ディフェンダー,100,0,5,1235,70%,150%,15,55,14,16,27,29,8,44,100,0,8,0,防弾ベスト (5-Star),専用装備 (5-Star),暗視装備 (5-Star),6581,246,296,345,394,77
1214,初級4,昼戦,396,MG,MG15,100,0,5,870,5%,150%,515,111,31,24,98,0,15,9,100,0,4,0,特殊徹甲弾 (5-Star),-,アサルトパック (5-Star),9848,246,295,344,393,78
1214,初級4,昼戦,345,MG,MG338,100,0,5,870,5%,150%,195,110,38,28,125,0,9,9,100,0,10,0,徹甲弾 (5-Star),-,固定銃架 (5-Star),6493,162,194,227,259,79
1214,初級4,昼戦,276,MG,Kord,100,0,5,990,5%,150%,195,115,34,23,110,0,9,10,100,0,10,0,徹甲弾 (5-Star),-,固定銃架 (5-Star),6400,160,192,224,256,80
1214,初級4,昼戦,90,HG,FF FNP9,1,0,1,30,20%,150%,15,11,7,11,42,0,0,8,50,0,1,0,-,-,-,134,18,22,25,29,81
1214,初級4,昼戦,24,SMG,PP-2000,1,0,1,80,5%,150%,15,12,2,11,57,0,0,11,50,0,1,0,-,-,-,185,13,16,19,22,82
1218,初級8,昼戦,20122,AR,Gr G11 Mod,120,3,5,620,68%,175%,15,96,66,51,97,0,0,10,200,1,10,10,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),7912,1087,1305,1523,1740,1
1218,初級8,昼戦,20055,AR,M4A1 Mod,119,3,5,565,68%,150%,15,93,53,53,100,15,0,9,100,0,10,10,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),7839,1077,1293,1509,1724,2
1218,初級8,昼戦,20065,AR,416 Mod,120,3,5,620,45%,160%,15,117,73,75,79,0,0,10,200,1,10,10,専用装備 (5-Star),専用装備 (5-Star),専用装備 (5-Star),7780,1069,1283,1497,1711,3
1218,初級8,昼戦,20088,MG,MG3 Mod,115,3,5,1010,35%,150%,565,76,39,23,131,0,40,11,100,0,10,10,専用装備 (5-Star),レッドサイト (5-Star),専用装備 (5-Star),17070,1066,1280,1493,1707,4
1218,初級8,昼戦,20125,MG,Gr MG4 Mod,115,3,5,925,40%,150%,615,96,75,35,139,0,15,10,100,0,10,10,専用装備 (5-Star),専用装備 (5-Star),アサルトパック (5-Star),16691,1043,1251,1460,1669,5
1218,初級8,昼戦,20293,AR,AK-15 Mod,116,3,5,590,68%,170%,15,107,57,76,78,0,0,10,100,0,10,10,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),7351,1010,1212,1415,1617,6
1218,初級8,昼戦,361,AR,QBZ-191,100,0,5,605,20%,100%,15,102,68,49,99,0,0,9,100,0,8,0,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),5974,985,1182,1379,1577,7
1218,初級8,昼戦,20205,AR,AN-94 Mod,115,3,5,590,68%,125%,15,98,74,52,105,0,0,9,100,0,10,8,専用装備 (5-Star),高速弾 (5-Star),チップ (5-Star),7168,985,1182,1379,1576,8
1218,初級8,昼戦,62,AR,Gr G41,100,0,5,635,68%,150%,15,95,58,60,77,0,0,10,69,0,4,0,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),5840,963,1156,1349,1541,9
1218,初級8,昼戦,20057,AR,ST AR-15 Mod,115,3,5,535,75%,180%,15,102,67,54,73,0,0,9,100,0,10,10,専用装備 (5-Star),専用装備 (5-Star),専用装備 (5-Star),6869,944,1133,1322,1511,10
1218,初級8,昼戦,20206,AR,AK-12 Mod,115,2,5,565,88%,180%,15,96,71,59,70,0,0,9,100,0,7,6,オプティカル (5-Star),高速弾 (5-Star),集中チップ (5-Star),6809,936,1123,1310,1497,11
1218,初級8,昼戦,382,AR,MSBS,100,0,5,550,20%,100%,15,97,67,50,93,0,0,8,100,0,10,0,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),5462,901,1081,1261,1441,12
1218,初級8,昼戦,20080,MG,M1919A4 Mod,115,3,5,925,35%,170%,515,114,64,25,102,0,14,10,100,0,5,4,専用装備 (5-Star),専用装備 (5-Star),アサルトパック (5-Star),14270,891,1070,1248,1427,13
1218,初級8,昼戦,374,MG,M240L,100,0,5,875,35%,150%,515,107,56,31,123,0,16,9,100,0,10,0,特殊徹甲弾 (5-Star),レッドサイト (5-Star),アサルトパック (5-Star),14189,886,1064,1241,1418,14
1218,初級8,昼戦,20060,AR,AS Val Mod,115,3,5,675,68%,200%,15,84,53,53,75,0,0,11,100,0,10,8,オプティカル (5-Star),専用装備 (5-Star),専用装備 (5-Star),6417,882,1058,1235,1411,15
1218,初級8,昼戦,118,AR,9A-91,100,0,5,580,68%,150%,15,80,52,53,103,0,0,9,100,0,10,0,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),6117,841,1009,1177,1345,16
1218,初級8,昼戦,378,AR,SCAR-L,100,0,5,550,20%,100%,15,106,65,55,99,0,0,8,100,0,10,0,ホロサイト (5-Star),専用装備 (5-Star),チップ (5-Star),6104,839,1007,1175,1342,17
1218,初級8,昼戦,173,MG,PKP,100,0,5,825,35%,150%,515,98,61,27,122,0,15,9,50,0,4,0,特殊徹甲弾 (5-Star),専用装備 (5-Star),アサルトパック (5-Star),13316,832,998,1165,1331,18
1218,初級8,昼戦,356,AR,A-545,100,0,5,550,20%,100%,15,101,70,52,103,0,0,8,100,0,8,0,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),6045,831,997,1163,1329,19
1218,初級8,昼戦,20171,AR,リベロール Mod,115,2,5,590,20%,100%,15,112,65,44,89,0,0,9,100,0,10,10,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),6031,829,995,1160,1326,20
1218,初級8,昼戦,292,MG,RPK-16,100,0,5,825,35%,150%,515,90,59,36,124,0,15,9,100,0,5,0,特殊徹甲弾 (5-Star),レッドサイト (5-Star),アサルトパック (5-Star),13134,820,985,1149,1313,21
1218,初級8,昼戦,338,AR,SIG MCX,100,0,5,580,20%,100%,15,95,74,49,104,0,0,9,100,0,7,0,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),5898,810,973,1135,1297,22
1218,初級8,昼戦,172,AR,Am RFB,100,0,5,525,78%,118%,15,108,72,52,79,0,0,8,100,0,10,0,専用装備 (5-Star),高速弾 (5-Star),チップ (5-Star),5803,797,957,1117,1276,23
1218,初級8,昼戦,306,AR,AK-Alfa,100,0,5,580,20%,100%,15,102,70,55,96,0,0,9,100,0,4,0,ホロサイト (5-Star),高速弾 (5-Star),チップ (5-Star),5792,796,955,1114,1274,24
1218,初級8,昼戦,112,MG,ネゲヴ,100,0,5,870,53%,150%,515,89,37,36,134,0,14,9,100,0,8,0,特殊徹甲弾 (5-Star),オプティカル (5-Star),アサルトパック (5-Star),12178,761,913,1065,1217,25
1218,初級8,昼戦,396,MG,MG15,100,0,5,870,53%,150%,515,111,31,24,98,0,15,9,100,0,4,0,特殊徹甲弾 (5-Star),オプティカル (5-Star),アサルトパック (5-Star),11699,731,877,1023,1169,26
1218,初級8,昼戦,390,AR,433,100,0,5,620,68%,180%,15,83,48,48,69,0,0,9,100,0,8,0,オプティカル (5-Star),高速弾 (5-Star),集中チップ (5-Star),5202,715,858,1001,1144,27
1218,初級8,昼戦,106,AR,FAL,100,0,5,660,68%,150%,15,74,46,75,72,0,0,10,96,0,4,0,オプティカル (5-Star),高速弾 (5-Star),T外骨格 (5-Star),5012,689,826,964,1102,28
1218,初級8,昼戦,20114,HG,ウェルロッドMkⅡ Mod,118,3,5,405,40%,150%,8,48,78,135,52,5,0,20,100,0,10,10,SFライト (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),4823,663,795,928,1061,29
1218,初級8,昼戦,183,HG,コンテンダー,100,0,5,330,60%,150%,195,43,90,132,44,0,0,16,100,0,10,0,サイレンサー (5-Star),徹甲弾 (5-Star),T外骨格 (5-Star),4789,658,790,921,1053,30
1218,初級8,昼戦,20097,HG,M950A Mod,115,3,5,400,40%,150%,8,49,57,145,72,0,0,21,100,0,10,10,専用装備 (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),4706,647,776,905,1035,31
1218,初級8,昼戦,20233,HG,Px4 ストーム Mod,115,2,5,380,40%,150%,8,47,77,162,57,0,0,21,100,0,10,10,専用装備 (5-Star),ホローポイント弾 (5-Star),T外骨格 (5-Star),4522,621,746,870,994,32
1218,初級8,昼戦,20282,SG,DP-12 Mod,115,3,5,1325,40%,150%,15,37,36,23,39,36,5,56,100,0,10,10,専用装備 (5-Star),散弾用閃光弾 (5-Star),SFライト (5-Star),9938,621,745,869,993,33
1218,初級8,昼戦,20228,SMG,一〇〇式 Mod,115,3,5,1150,25%,150%,15,30,42,146,79,0,0,39,100,0,8,5,T外骨格 (5-Star),専用装備 (5-Star),専用装備 (5-Star),7865,589,707,825,943,34
1218,初級8,昼戦,20010,HG,PPK Mod,115,3,5,340,50%,150%,8,45,65,164,63,0,0,19,100,0,10,10,専用装備 (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),4275,587,705,822,940,35
1218,初級8,昼戦,20008,HG,マカロフ Mod,115,2,5,340,40%,150%,8,43,67,174,61,0,0,19,100,0,10,8,専用装備 (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),4210,578,694,810,926,36
1218,初級8,昼戦,20007,HG,スチェッキン Mod,115,3,5,425,60%,150%,8,48,58,102,66,0,0,23,100,0,10,6,専用装備 (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),4163,572,686,801,915,37
1218,初級8,昼戦,242,HG,P22,100,0,5,350,45%,150%,8,45,70,156,62,0,0,17,100,0,10,0,専用装備 (5-Star),ホローポイント弾 (5-Star),X外骨格 (5-Star),4034,554,665,776,887,38
1218,初級8,昼戦,20212,HG,K5 Mod,115,2,5,370,40%,150%,8,47,58,120,62,0,0,21,100,0,8,8,SFライト (5-Star),ホローポイント弾 (5-Star),X外骨格 (5-Star),4025,553,664,774,885,39
1218,初級8,昼戦,20115,SMG,スオミ Mod,116,3,5,1125,25%,150%,15,37,44,113,94,0,0,35,200,1,10,10,X外骨格 (5-Star),専用装備 (5-Star),サイレンサー (5-Star),7254,544,652,761,870,40
